current_command_path	aliases	handler	source_file	arguments_flags	environment_tty	auth_tenant_case	posture	canonical_owner	process_role	output_json_stdout_exit	visibility	target_visibility	proposed_operation_id
yai daemon status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai daemon status --socket <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai daemon info	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai daemon info --socket <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai daemon shutdown	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai daemon shutdown --socket <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai daemon run-minimum-loop	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai daemon run-minimum-loop --socket <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai daemon run-filesystem-loop	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai daemon run-filesystem-loop --socket <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai daemon journal-summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai daemon journal-summary --socket <path> --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai daemon projection-summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai daemon projection-summary --socket <path> --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai process observe	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai process observe --pid <pid>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai process signal	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai process signal --pid <pid> --signal TERM|KILL [--dry-run]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai observe process	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai observe process --pid <pid>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai observe compare-process	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai observe compare-process --pid <pid> --expected running|stopped	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai carrier fs-read	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai carrier fs-read --sandbox <sandbox> --path <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
